worker_id,output_id,annotation_range
A2P3XETFFG5K7J,BD-095,1
A2P3XETFFG5K7J,BD-081,1
A2P3XETFFG5K7J,B4o-005,1
A2P3XETFFG5K7J,BD-088,5
A2P3XETFFG5K7J,BD-024,5
A133HLDA3JJV0M,B4o-058,3
A133HLDA3JJV0M,B4o-066,5
A133HLDA3JJV0M,B4o-086,2
A133HLDA3JJV0M,B5-007,3
A133HLDA3JJV0M,B5-071,2
A133HLDA3JJV0M,BD-005,1
A133HLDA3JJV0M,BD-028,2
A133HLDA3JJV0M,BD-032,2
A133HLDA3JJV0M,B4o-091,3
A133HLDA3JJV0M,B5-056,1
A133HLDA3JJV0M,B5-091,1
A133HLDA3JJV0M,B5-093,5
A133HLDA3JJV0M,BD-013,1
A133HLDA3JJV0M,BD-023,1
A133HLDA3JJV0M,BD-066,4
A133HLDA3JJV0M,BD-089,4
A133HLDA3JJV0M,B4o-039,4
A133HLDA3JJV0M,B4o-083,4
A133HLDA3JJV0M,B5-022,5
A133HLDA3JJV0M,B5-043,1
A133HLDA3JJV0M,B5-069,4
A133HLDA3JJV0M,B5-092,1
A133HLDA3JJV0M,BD-026,4
A133HLDA3JJV0M,BD-099,1
A133HLDA3JJV0M,B4o-098,2
A133HLDA3JJV0M,B5-034,1
A133HLDA3JJV0M,B5-035,2
A133HLDA3JJV0M,B5-036,5
A133HLDA3JJV0M,B5-072,3
A133HLDA3JJV0M,BD-029,1
A133HLDA3JJV0M,BD-046,5
A133HLDA3JJV0M,BD-097,3
A133HLDA3JJV0M,B4o-004,1
A133HLDA3JJV0M,B4o-037,4
A133HLDA3JJV0M,B4o-071,4
A133HLDA3JJV0M,B4o-095,3
A133HLDA3JJV0M,B5-004,5
A133HLDA3JJV0M,B5-025,4
A133HLDA3JJV0M,B5-048,3
A133HLDA3JJV0M,B5-075,1
A133HLDA3JJV0M,B4o-082,5
A133HLDA3JJV0M,B4o-085,3
A133HLDA3JJV0M,B5-002,1
A133HLDA3JJV0M,B5-021,4
A133HLDA3JJV0M,B5-044,1
A133HLDA3JJV0M,BD-056,2
A133HLDA3JJV0M,BD-081,1
A133HLDA3JJV0M,BD-082,4
A2P3XETFFG5K7J,B5-011,1
A2P3XETFFG5K7J,B5-041,1
A2P3XETFFG5K7J,BD-067,1
A2P3XETFFG5K7J,B5-036,1
A2P3XETFFG5K7J,BD-056,5
A2P3XETFFG5K7J,BD-061,5
A1E80Q7U5UXLMS,BD-005,1
A1E80Q7U5UXLMS,BD-091,3
A1E80Q7U5UXLMS,B5-004,1
A1E80Q7U5UXLMS,B4o-019,5
A1E80Q7U5UXLMS,B5-035,2
A1E80Q7U5UXLMS,B5-054,3
A3240Z3SG99X06,B4o-088,5
A3240Z3SG99X06,B4o-065,5
A3240Z3SG99X06,BD-047,5
A3240Z3SG99X06,BD-019,1
A3240Z3SG99X06,B5-046,1
A3240Z3SG99X06,B5-002,4
A133HLDA3JJV0M,B4o-025,4
A133HLDA3JJV0M,B4o-069,5
A133HLDA3JJV0M,B4o-079,2
A133HLDA3JJV0M,B4o-085,4
A133HLDA3JJV0M,B4o-097,3
A133HLDA3JJV0M,B5-003,5
A133HLDA3JJV0M,B5-005,1
A133HLDA3JJV0M,B4o-091,3
A133HLDA3JJV0M,B4o-093,2
A133HLDA3JJV0M,B4o-094,4
A133HLDA3JJV0M,B5-012,4
A133HLDA3JJV0M,B5-014,3
A133HLDA3JJV0M,B5-066,3
A133HLDA3JJV0M,BD-094,5
A133HLDA3JJV0M,B4o-068,3
A133HLDA3JJV0M,B5-006,4
A133HLDA3JJV0M,B5-018,4
A133HLDA3JJV0M,B5-018,4
A133HLDA3JJV0M,B5-061,5
A133HLDA3JJV0M,B5-078,5
A133HLDA3JJV0M,B5-095,2
A133HLDA3JJV0M,B4o-065,4
A133HLDA3JJV0M,B4o-066,4
A133HLDA3JJV0M,B5-024,5
A133HLDA3JJV0M,BD-041,5
A133HLDA3JJV0M,BD-043,2
A133HLDA3JJV0M,BD-091,3
A133HLDA3JJV0M,BD-098,2
A133HLDA3JJV0M,B4o-024,5
A133HLDA3JJV0M,B4o-076,4
A133HLDA3JJV0M,B4o-087,4
A133HLDA3JJV0M,B5-002,1
A133HLDA3JJV0M,BD-068,3
A133HLDA3JJV0M,BD-071,2
A133HLDA3JJV0M,BD-098,5
A133HLDA3JJV0M,B4o-021,5
A133HLDA3JJV0M,B4o-049,2
A133HLDA3JJV0M,B4o-077,3
A133HLDA3JJV0M,B4o-097,4
A133HLDA3JJV0M,B5-009,3
A133HLDA3JJV0M,B5-032,1
A133HLDA3JJV0M,B5-052,4
A17QWRCEPG0775,B4o-096,4
A17QWRCEPG0775,B5-001,1
A17QWRCEPG0775,B4o-018,3
A17QWRCEPG0775,B4o-045,1
A17QWRCEPG0775,BD-063,1
A17QWRCEPG0775,BD-012,1
A2P3XETFFG5K7J,B5-085,4
A2P3XETFFG5K7J,B4o-093,3
A2P3XETFFG5K7J,B4o-001,1
A2P3XETFFG5K7J,B5-078,5
A2P3XETFFG5K7J,B5-083,5
A2P3XETFFG5K7J,B4o-068,4
A39KQ6Q83RH3NO,B4o-002,5
A39KQ6Q83RH3NO,B4o-091,3
A39KQ6Q83RH3NO,B5-059,2
A39KQ6Q83RH3NO,B4o-061,1
A39KQ6Q83RH3NO,B5-008,3
A39KQ6Q83RH3NO,B4o-081,1
A1E80Q7U5UXLMS,BD-013,1
A1E80Q7U5UXLMS,B5-085,5
A1E80Q7U5UXLMS,BD-032,1
A1E80Q7U5UXLMS,BD-071,1
A1E80Q7U5UXLMS,B4o-084,5
A1E80Q7U5UXLMS,B5-054,3
A3240Z3SG99X06,BD-005,2
A3240Z3SG99X06,B5-022,5
A3240Z3SG99X06,B5-054,3
A3240Z3SG99X06,B5-042,1
A3240Z3SG99X06,B5-058,1
A3240Z3SG99X06,B5-047,5
A3240Z3SG99X06,BD-018,1
A3240Z3SG99X06,B5-075,2
A3240Z3SG99X06,BD-004,1
A3240Z3SG99X06,BD-016,1
A3240Z3SG99X06,BD-072,1
A3240Z3SG99X06,B5-027,5
A3240Z3SG99X06,BD-025,5
A3240Z3SG99X06,BD-052,1
A3240Z3SG99X06,B4o-003,1
A3240Z3SG99X06,B4o-092,1
A3240Z3SG99X06,B5-079,1
A3240Z3SG99X06,B4o-002,2
A2P3XETFFG5K7J,B5-021,4
A2P3XETFFG5K7J,B4o-085,4
A2P3XETFFG5K7J,B4o-016,1
A2P3XETFFG5K7J,B4o-008,1
A2P3XETFFG5K7J,B5-077,3
A2P3XETFFG5K7J,BD-041,5
A2P3XETFFG5K7J,B5-053,1
A2P3XETFFG5K7J,B4o-067,2
A2P3XETFFG5K7J,B4o-047,5
A2P3XETFFG5K7J,B5-073,5
A2P3XETFFG5K7J,B4o-024,5
A2P3XETFFG5K7J,B4o-091,3
A2P3XETFFG5K7J,B5-013,5
A2P3XETFFG5K7J,B4o-012,5
A2P3XETFFG5K7J,B4o-023,5
A2P3XETFFG5K7J,B4o-089,4
A2P3XETFFG5K7J,B4o-071,4
A2P3XETFFG5K7J,B4o-097,4
A39KQ6Q83RH3NO,B5-002,4
A39KQ6Q83RH3NO,B5-005,2
A39KQ6Q83RH3NO,B4o-093,2
A39KQ6Q83RH3NO,B4o-052,1
A39KQ6Q83RH3NO,B4o-054,3
A39KQ6Q83RH3NO,B4o-006,1
A133HLDA3JJV0M,B4o-074,4
A133HLDA3JJV0M,B5-005,1
A133HLDA3JJV0M,B5-011,1
A133HLDA3JJV0M,B5-087,4
A133HLDA3JJV0M,B5-089,5
A133HLDA3JJV0M,B5-096,4
A133HLDA3JJV0M,BD-082,5
A133HLDA3JJV0M,B4o-025,4
A133HLDA3JJV0M,B4o-059,4
A133HLDA3JJV0M,B4o-078,5
A133HLDA3JJV0M,B5-014,4
A133HLDA3JJV0M,B5-037,4
A133HLDA3JJV0M,B5-054,3
A133HLDA3JJV0M,B5-055,1
A133HLDA3JJV0M,B4o-079,2
A133HLDA3JJV0M,B4o-085,4
A133HLDA3JJV0M,B5-004,1
A133HLDA3JJV0M,BD-059,1
A133HLDA3JJV0M,BD-063,1
