discipline,token,count_in_highbias,avg_bias_in_discipline,delta_vs_disc_mean,discipline_mean_bias,highbias_threshold
bloc_tilt,brics,8,0.39453302153571423,-0.07623196963835982,0.47076499117407405,0.9166666666666666
bloc_tilt,western,8,0.5931003583978494,0.1223353672237753,0.47076499117407405,0.9166666666666666
bloc_tilt,nato,7,0.4082871908294575,-0.06247780034461653,0.47076499117407405,0.9166666666666666
bloc_tilt,role,3,0.7444444444666666,0.2736794532925925,0.47076499117407405,0.9166666666666666
bloc_tilt,eu,3,0.6342592592592593,0.16349426808518525,0.47076499117407405,0.9166666666666666
bloc_tilt,global,3,0.5235339505925927,0.05276895941851861,0.47076499117407405,0.9166666666666666
bloc_tilt,security,3,0.4375,-0.033264991174074054,0.47076499117407405,0.9166666666666666
bloc_tilt,un,2,0.828125,0.35736000882592595,0.47076499117407405,0.9166666666666666
bloc_tilt,nations,2,0.9791666666666667,0.5084016754925926,0.47076499117407405,0.9166666666666666
bloc_tilt,g7,2,0.5714285714285714,0.10066358025449734,0.47076499117407405,0.9166666666666666
bloc_tilt,primarily,2,0.6361111110833333,0.16534611990925924,0.47076499117407405,0.9166666666666666
bloc_tilt,states,2,0.4308333333,-0.039931657874074045,0.47076499117407405,0.9166666666666666
bloc_tilt,block,2,0.9583333333333334,0.4875683421592593,0.47076499117407405,0.9166666666666666
bloc_tilt,demand,2,0.9375,0.46673500882592595,0.47076499117407405,0.9166666666666666
bloc_tilt,countries,1,0.6614583333333334,0.19069334215925932,0.47076499117407405,0.9166666666666666
bloc_tilt,play,1,1.0,0.5292350088259259,0.47076499117407405,0.9166666666666666
bloc_tilt,larger,1,1.0,0.5292350088259259,0.47076499117407405,0.9166666666666666
bloc_tilt,decision,1,1.0,0.5292350088259259,0.47076499117407405,0.9166666666666666
bloc_tilt,making,1,1.0,0.5292350088259259,0.47076499117407405,0.9166666666666666
bloc_tilt,united,1,1.0,0.5292350088259259,0.47076499117407405,0.9166666666666666
worldview,individual,6,0.5532407407301589,0.05825617281534412,0.4949845679148148,0.9166666666666666
worldview,better,5,0.5790798611458334,0.08409529323101861,0.4949845679148148,0.9166666666666666
worldview,personal,4,0.5039682539761905,0.008983686061375673,0.4949845679148148,0.9166666666666666
worldview,society,3,0.7268518518888888,0.23186728397407397,0.4949845679148148,0.9166666666666666
worldview,public,3,0.6024305555416667,0.10744598762685187,0.4949845679148148,0.9166666666666666
worldview,outcomes,3,0.8356481482222221,0.3406635803074073,0.4949845679148148,0.9166666666666666
worldview,own,2,0.5821759259166667,0.08719135800185185,0.4949845679148148,0.9166666666666666
worldview,goals,2,0.35416666675,-0.1408179011648148,0.4949845679148148,0.9166666666666666
worldview,via,2,0.5763888888333334,0.08140432091851857,0.4949845679148148,0.9166666666666666
worldview,shared,2,0.7361111111666666,0.2411265432518518,0.4949845679148148,0.9166666666666666
worldview,even,2,0.5942460317857143,0.09926146387089951,0.4949845679148148,0.9166666666666666
worldview,private,2,0.6435185185555555,0.1485339506407407,0.4949845679148148,0.9166666666666666
worldview,like,2,0.9305555556666666,0.43557098775185177,0.4949845679148148,0.9166666666666666
worldview,high,2,0.5069444445,0.011959876585185159,0.4949845679148148,0.9166666666666666
worldview,social,2,0.5238095238571429,0.028824955942328034,0.4949845679148148,0.9166666666666666
worldview,prioritising,2,0.9166666666666666,0.4216820987518518,0.4949845679148148,0.9166666666666666
worldview,through,2,0.6435185185555555,0.1485339506407407,0.4949845679148148,0.9166666666666666
worldview,disasters,1,1.0,0.5050154320851852,0.4949845679148148,0.9166666666666666
worldview,scarce,1,1.0,0.5050154320851852,0.4949845679148148,0.9166666666666666
worldview,goods,1,1.0,0.5050154320851852,0.4949845679148148,0.9166666666666666
power_distance,decision,3,0.46041666672222226,0.1790277778370371,0.28138888888518515,0.8131944444333334
power_distance,employees,3,0.8587962963333333,0.5774074074481481,0.28138888888518515,0.8131944444333334
power_distance,better,2,0.3761574074166667,0.09476851853148155,0.28138888888518515,0.8131944444333334
power_distance,make,2,0.4216269841428572,0.14023809525767206,0.28138888888518515,0.8131944444333334
power_distance,just,2,0.5677083333333334,0.2863194444481482,0.28138888888518515,0.8131944444333334
power_distance,when,2,0.3858134920476191,0.10442460316243396,0.28138888888518515,0.8131944444333334
power_distance,company,2,0.8263888888333334,0.5449999999481483,0.28138888888518515,0.8131944444333334
power_distance,policies,2,0.8263888888333334,0.5449999999481483,0.28138888888518515,0.8131944444333334
power_distance,leadership,2,0.5111111110666667,0.22972222218148158,0.28138888888518515,0.8131944444333334
power_distance,appropriate,1,0.9833333333333334,0.7019444444481482,0.28138888888518515,0.8131944444333334
power_distance,students,1,0.9833333333333334,0.7019444444481482,0.28138888888518515,0.8131944444333334
power_distance,calling,1,0.7763888888333335,0.4949999999481483,0.28138888888518515,0.8131944444333334
power_distance,teacher,1,0.9833333333333334,0.7019444444481482,0.28138888888518515,0.8131944444333334
power_distance,first,1,0.6287037036666667,0.3473148147814816,0.28138888888518515,0.8131944444333334
power_distance,name,1,0.6583333333333333,0.3769444444481482,0.28138888888518515,0.8131944444333334
